,Accuracy,Model,Layer,Task
11,53.51,PIXEL-MNLI,11,SOMO
12,53.03,PIXEL-MNLI,12,SOMO
1,56.47,BERT,1,CoordInv
2,60.73,BERT,2,CoordInv
3,61.73,BERT,3,CoordInv
4,62.34,BERT,4,CoordInv
5,62.74,BERT,5,CoordInv
6,65.49,BERT,6,CoordInv
7,69.22,BERT,7,CoordInv
8,70.83,BERT,8,CoordInv
9,72.43,BERT,9,CoordInv
10,71.3,BERT,10,CoordInv
11,70.49,BERT,11,CoordInv
12,69.43,BERT,12,CoordInv
1,51.39,PIXEL,1,CoordInv
2,51.67,PIXEL,2,CoordInv
3,52.38,PIXEL,3,CoordInv
4,53.72,PIXEL,4,CoordInv
5,56.11,PIXEL,5,CoordInv
6,58.33,PIXEL,6,CoordInv
7,59.05,PIXEL,7,CoordInv
8,62.55,PIXEL,8,CoordInv
9,63.3,PIXEL,9,CoordInv
10,64.48,PIXEL,10,CoordInv
11,64.79,PIXEL,11,CoordInv
12,64.81,PIXEL,12,CoordInv
1,52.38,ViT-mae,1,CoordInv
2,52.19,ViT-mae,2,CoordInv
3,52.37,ViT-mae,3,CoordInv
4,52.85,ViT-mae,4,CoordInv
5,53.41,ViT-mae,5,CoordInv
6,53.58,ViT-mae,6,CoordInv
7,53.79,ViT-mae,7,CoordInv
8,53.79,ViT-mae,8,CoordInv
9,53.66,ViT-mae,9,CoordInv
10,53.94,ViT-mae,10,CoordInv
11,53.66,ViT-mae,11,CoordInv
12,53.0,ViT-mae,12,CoordInv
1,50.0,Baseline,1,CoordInv
2,50.0,Baseline,2,CoordInv
3,50.0,Baseline,3,CoordInv
4,50.0,Baseline,4,CoordInv
5,50.0,Baseline,5,CoordInv
6,50.0,Baseline,6,CoordInv
7,50.0,Baseline,7,CoordInv
8,50.0,Baseline,8,CoordInv
9,50.0,Baseline,9,CoordInv
10,50.0,Baseline,10,CoordInv
11,50.0,Baseline,11,CoordInv
12,50.0,Baseline,12,CoordInv
1,50.51,PIXEL-bigrams,1,CoordInv
2,51.55,PIXEL-bigrams,2,CoordInv
3,52.49,PIXEL-bigrams,3,CoordInv
4,53.91,PIXEL-bigrams,4,CoordInv
5,54.83,PIXEL-bigrams,5,CoordInv
6,56.26,PIXEL-bigrams,6,CoordInv
7,57.16,PIXEL-bigrams,7,CoordInv
8,58.04,PIXEL-bigrams,8,CoordInv
9,57.94,PIXEL-bigrams,9,CoordInv
10,58.09,PIXEL-bigrams,10,CoordInv
11,58.38,PIXEL-bigrams,11,CoordInv
12,58.44,PIXEL-bigrams,12,CoordInv
1,53.38,PIXEL-MNLI,1,CoordInv
2,53.71,PIXEL-MNLI,2,CoordInv
3,54.52,PIXEL-MNLI,3,CoordInv
4,54.64,PIXEL-MNLI,4,CoordInv
5,58.45,PIXEL-MNLI,5,CoordInv
6,58.75,PIXEL-MNLI,6,CoordInv
7,61.37,PIXEL-MNLI,7,CoordInv
8,63.3,PIXEL-MNLI,8,CoordInv
9,64.11,PIXEL-MNLI,9,CoordInv
10,64.76,PIXEL-MNLI,10,CoordInv
11,64.56,PIXEL-MNLI,11,CoordInv
12,64.66,PIXEL-MNLI,12,CoordInv
1,28.82,PIXEL-bigrams-MNLI,1,TreeDepth
2,31.2,PIXEL-bigrams-MNLI,2,TreeDepth
3,33.11,PIXEL-bigrams-MNLI,3,TreeDepth
4,34.11,PIXEL-bigrams-MNLI,4,TreeDepth
5,35.99,PIXEL-bigrams-MNLI,5,TreeDepth
6,38.76,PIXEL-bigrams-MNLI,6,TreeDepth
7,39.9,PIXEL-bigrams-MNLI,7,TreeDepth
8,41.82,PIXEL-bigrams-MNLI,8,TreeDepth
9,41.42,PIXEL-bigrams-MNLI,9,TreeDepth
10,41.01,PIXEL-bigrams-MNLI,10,TreeDepth
11,40.06,PIXEL-bigrams-MNLI,11,TreeDepth
12,39.1,PIXEL-bigrams-MNLI,12,TreeDepth
1,50.93,PIXEL-bigrams-MNLI,1,BShift
2,53.08,PIXEL-bigrams-MNLI,2,BShift
3,55.32,PIXEL-bigrams-MNLI,3,BShift
4,60.52,PIXEL-bigrams-MNLI,4,BShift
5,61.86,PIXEL-bigrams-MNLI,5,BShift
6,70.09,PIXEL-bigrams-MNLI,6,BShift
7,75.32,PIXEL-bigrams-MNLI,7,BShift
8,77.47,PIXEL-bigrams-MNLI,8,BShift
9,78.49,PIXEL-bigrams-MNLI,9,BShift
10,78.93,PIXEL-bigrams-MNLI,10,BShift
11,78.25,PIXEL-bigrams-MNLI,11,BShift
12,77.98,PIXEL-bigrams-MNLI,12,BShift
1,27.7,PIXEL-bigrams-MNLI,1,WC
2,51.77,PIXEL-bigrams-MNLI,2,WC
3,67.45,PIXEL-bigrams-MNLI,3,WC
4,76.01,PIXEL-bigrams-MNLI,4,WC
5,80.15,PIXEL-bigrams-MNLI,5,WC
6,80.56,PIXEL-bigrams-MNLI,6,WC
7,79.56,PIXEL-bigrams-MNLI,7,WC
8,77.18,PIXEL-bigrams-MNLI,8,WC
9,73.57,PIXEL-bigrams-MNLI,9,WC
10,69.33,PIXEL-bigrams-MNLI,10,WC
11,66.2,PIXEL-bigrams-MNLI,11,WC
12,61.33,PIXEL-bigrams-MNLI,12,WC
1,81.92,PIXEL-bigrams-MNLI,1,Tense
2,85.28,PIXEL-bigrams-MNLI,2,Tense
3,86.32,PIXEL-bigrams-MNLI,3,Tense
4,87.18,PIXEL-bigrams-MNLI,4,Tense
5,88.0,PIXEL-bigrams-MNLI,5,Tense
6,88.98,PIXEL-bigrams-MNLI,6,Tense
7,89.87,PIXEL-bigrams-MNLI,7,Tense
8,90.09,PIXEL-bigrams-MNLI,8,Tense
9,89.91,PIXEL-bigrams-MNLI,9,Tense
10,89.86,PIXEL-bigrams-MNLI,10,Tense
11,89.47,PIXEL-bigrams-MNLI,11,Tense
12,88.97,PIXEL-bigrams-MNLI,12,Tense
1,53.62,PIXEL-bigrams-MNLI,1,CoordInv
2,56.59,PIXEL-bigrams-MNLI,2,CoordInv
3,56.51,PIXEL-bigrams-MNLI,3,CoordInv
4,57.58,PIXEL-bigrams-MNLI,4,CoordInv
5,59.09,PIXEL-bigrams-MNLI,5,CoordInv
6,61.37,PIXEL-bigrams-MNLI,6,CoordInv
7,63.05,PIXEL-bigrams-MNLI,7,CoordInv
8,63.75,PIXEL-bigrams-MNLI,8,CoordInv
9,64.44,PIXEL-bigrams-MNLI,9,CoordInv
10,65.07,PIXEL-bigrams-MNLI,10,CoordInv
11,66.49,PIXEL-bigrams-MNLI,11,CoordInv
12,67.49,PIXEL-bigrams-MNLI,12,CoordInv
1,50.65,PIXEL-bigrams-MNLI,1,SOMO
2,50.69,PIXEL-bigrams-MNLI,2,SOMO
3,50.63,PIXEL-bigrams-MNLI,3,SOMO
4,50.84,PIXEL-bigrams-MNLI,4,SOMO
5,50.44,PIXEL-bigrams-MNLI,5,SOMO
6,51.27,PIXEL-bigrams-MNLI,6,SOMO
7,53.41,PIXEL-bigrams-MNLI,7,SOMO
8,55.24,PIXEL-bigrams-MNLI,8,SOMO
9,55.83,PIXEL-bigrams-MNLI,9,SOMO
10,57.13,PIXEL-bigrams-MNLI,10,SOMO
11,57.4,PIXEL-bigrams-MNLI,11,SOMO
12,57.0,PIXEL-bigrams-MNLI,12,SOMO
